TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA
CRPG3;43,57;2,03;10,46;1,87;1,36;31,56;20,87;20,28;10,17;8,74;-1,59;-0,29;2,12;1,98;-7,28;6,44;17,92;13,01;18,10;0,73;0,27;0,64;8,35;;21.497,22;23,24;4,16
CRPG5;44,64;1,98;10,72;1,92;1,39;31,56;20,87;20,28;10,42;8,74;-1,59;-0,29;2,17;2,03;-7,46;6,44;17,92;13,01;18,10;0,73;0,27;0,64;8,35;;779.487,16;23,24;4,16
CRPG6;44,20;2,00;10,62;1,90;1,38;31,56;20,87;20,28;10,32;8,74;-1,59;-0,29;2,15;2,01;-7,39;6,44;17,92;13,01;18,10;0,73;0,27;0,64;8,35;;88.965,87;23,24;4,16
CSAB3;49,08;6,32;8,28;1,92;0,97;-432,32;-5.765,78;-5.795,29;8,32;8,48;;;;9,48;-1,14;2,99;23,21;11,67;;0,50;0,50;0,00;-27,17;-14,21;6.752,67;25,55;5,93
CSAB4;51,00;6,69;8,60;2,00;1,00;-432,32;-5.765,78;-5.795,29;8,64;8,48;;;;9,85;-1,19;2,99;23,21;11,67;;0,50;0,50;0,00;-27,17;-14,21;33.959,75;25,55;5,93
CSAN3;75,06;2,00;28,89;2,78;0,82;29,61;19,83;7,87;11,47;16,01;4,54;1,10;2,27;5,18;-1,21;1,95;9,61;2,84;8,48;0,30;0,69;0,36;10,73;31,02;174.514.366,97;27,04;2,60
CSMG3;15,51;17,97;7,34;0,83;0,49;44,16;23,69;15,15;4,70;6,47;1,77;0,31;1,11;7,02;-0,61;1,57;11,24;6,67;9,31;0,59;0,41;0,44;4,54;18,85;30.327.784,68;18,79;2,11
CSNA3;30,40;0,03;38,01;8,44;0,74;32,98;14,06;4,14;11,20;18,54;7,34;5,53;1,57;7,43;-1,10;1,44;22,21;1,95;6,82;0,09;0,89;0,47;9,54;;457.909.613,61;3,60;0,80
CSRN3;16,20;1,98;8,45;2,08;0,59;23,60;17,42;12,31;5,97;9,15;3,16;1,10;1,04;6,32;-0,76;1,68;24,58;6,93;12,19;0,28;0,72;0,56;10,15;5,29;53.242,27;7,80;1,92
CSRN5;15,91;2,22;8,30;2,04;0,58;23,60;17,42;12,31;5,87;9,15;3,16;1,10;1,02;6,20;-0,75;1,68;24,58;6,93;12,19;0,28;0,72;0,56;10,15;5,29;33.572,05;7,80;1,92
