TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
MCCI11;104,04;7,98;1,03;2.288.146,15;3,64;;;903.541.438,77;47.083,00;Ativa;
BREV11;116,40;4,45;1,11;406,50;1,67;;;98.185.654,03;78,00;Ativa;
EDFO11B;255,00;6,73;1,20;17.983,86;1,26;-7,28;-4,20;50.091.327,59;581,00;Passiva;
EDGA11;28,18;7,29;0,36;66.808,70;0,64;-10,54;-10,00;300.289.821,16;7.382,00;Passiva;
HSLG11;103,29;4,23;0,92;871.941,15;4,12;;;1.427.886.592,07;15.334,00;Ativa;
HSML11;86,73;5,32;0,91;2.832.104,15;2,10;;;1.498.621.894,76;123.703,00;Ativa;
AQLL11;385,03;0,00;0,26;641,83;0,00;;3,08;145.293.284,59;37,00;Ativa;
FAED11;159,00;9,32;0,74;102.556,15;1,53;-6,61;-7,67;137.369.055,33;5.217,00;Passiva;
FCFL11;113,99;6,20;1,12;347.881,25;0,52;0,75;7,04;352.507.145,84;4.478,00;Passiva;
HSRE11;98,00;3,58;1,01;1.321.352,17;1,89;;;828.949.804,14;35,00;Ativa;
ARCT11;103,60;20,53;1,00;514.914,50;50,25;;;164.991.794,92;5.951,00;Ativa;
ARFI11B;479,99;0,00;0,41;;0,37;;;134.354.730,49;28,00;Ativa;
FPNG11;0,00;0,00;;;1,08;-14,75;;165.221.512,02;50,00;Ativa;
FTCE11B;2.950,01;12,17;1,11;;7,35;;;2.337.001.531,50;57,00;Ativa;
HTMX11;109,10;0,00;0,84;224.618,05;1,08;8,60;-2,99;163.876.726,41;24.298,00;Ativa;
HUSI11;1.040,00;0,00;1,09;3.120,00;18,52;;;95.668.033,38;79,00;Ativa;
IBFF11;66,69;7,30;0,82;195.436,35;2,37;;;53.986.138,11;5.492,00;Ativa;
MORC11;0,00;0,00;;;14,92;;;32.379.414,09;68,00;Ativa;
EQIN11;94,90;10,81;1,02;301.678,53;17,00;-35,33;;134.192.234,05;6.617,00;Ativa;
EURO11;207,99;7,63;0,73;65.075,45;1,82;23,18;5,53;108.916.955,34;2.470,00;Passiva;
EVBI11;99,90;3,84;0,98;6.138,00;2,43;;;109.870.836,84;122,00;Ativa;
ARRI11;113,85;10,34;1,19;181.207,45;36,53;;;64.588.915,01;3.678,00;Ativa;
CFHI11;0,00;0,00;;;30,88;;;78.765.419,15;57,00;Ativa;
BICE11;0,00;0,00;;;113,06;;;433.058,49;89,00;Ativa;
HCHG11;96,00;0,81;0,99;84.532,00;423,84;;;7.248.488,71;243,00;Ativa;
HCRI11;418,00;8,43;1,37;40.412,50;0,58;6,59;10,00;60.866.768,76;3.198,00;Passiva;
JFLL11;90,50;4,18;0,94;80.663,60;1,90;;;145.090.606,23;1.632,00;Ativa;
JPPA11;98,49;10,07;0,94;72.086,45;9,25;;;63.016.274,70;498,00;Ativa;
MXRF11;10,23;8,41;1,02;6.022.434,10;21,76;2,44;0,36;2.260.292.862,71;416.044,00;Ativa;
CPFF11;82,10;9,17;1,02;875.338,50;1,94;;;320.607.034,13;12.506,00;Ativa;
BTWR11;107,10;0,66;1,01;249,00;2,91;;;86.069.876,37;7,00;Passiva;
DLMT11;0,00;0,00;;;2,43;;;13.885.169,74;9,00;Ativa;
NAVT11;80,15;1,93;0,85;451.317,60;12,34;;;99.247.563,36;2.170,00;Ativa;
HCTR11;130,05;19,01;1,12;10.055.511,15;23,47;;;1.697.282.920,93;107.060,00;Ativa;
IBCR11;0,00;0,00;;;38,16;;;66.956.540,61;258,00;Ativa;
KEVE11;999,99;0,00;0,99;9.488,83;10,94;;;148.750.650,42;383,00;Passiva;
KFOF11;90,95;7,18;0,91;654.615,20;1,18;;;455.204.278,12;7.284,00;Ativa;
MORE11;90,00;9,91;0,93;735.673,40;0,30;;;225.352.792,68;7.068,00;Ativa;
MTOF11;0,00;0,00;;;1,29;;;165.048.232,36;3,00;Ativa;
PEMA11;85,00;5,06;0,86;79.590,08;3,36;;;54.285.850,43;68,00;Ativa;
PLOG11;87,79;3,16;0,92;85.677,80;4,49;;;71.495.543,36;1.748,00;Ativa;
PQAG11;62,00;13,10;1,09;334.152,05;1,59;;;795.709.147,52;394,00;Ativa;
DAMT11B;0,00;0,00;;;0,04;;;106.979.687,74;51,00;Passiva;
DVFF11;99,99;0,00;1,05;6.689.841,00;12,23;;;58.760.323,42;162,00;Ativa;
FLRP11;1.298,00;4,15;0,78;18.924,00;1,54;-16,03;2,62;108.515.020,81;963,00;Passiva;
NPAR11;17,56;240,37;0,98;16.123,35;98,95;;;2.134.276,92;291,00;Ativa;
RBTS11;1.000,00;0,00;0,95;;8,10;;;59.318.115,55;56,00;Ativa;
RBVA11;114,85;9,48;1,01;1.083.265,95;3,09;2,49;4,50;1.317.979.877,14;41.561,00;Ativa;
RCRI11B;1.200,00;3,83;1,17;1.200,00;15,17;;;52.178.439,39;149,00;Ativa;
ELDO11B;762,38;6,32;0,62;;0,14;-3,80;;973.616.409,07;61,00;Passiva;
GGRC11;124,11;6,98;1,00;1.518.265,75;13,96;-2,73;0,52;966.425.568,63;94.829,00;Ativa;
KISU11;9,68;5,09;0,10;2.614.671,55;25,24;;;424.947.504,11;23.660,00;Ativa;
RVBI11;91,00;8,71;1,00;411.538,90;4,67;;;131.071.384,56;10.995,00;Ativa;
HBCR11;105,00;5,39;1,12;7.921,33;3,90;;;25.339.121,01;7,00;Ativa;
