TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
BCRI11;107,85;1,300000;13,81;106,60;1,01;1.465.225,38;2,85;14,81;-5,08;667.084.345,88;46.895,00;Ativa;6.257.873,00
BCFF11;66,00;0,540000;9,28;78,46;0,84;2.537.070,47;6,27;-1,15;-7,84;1.976.070.539,10;295.537,00;Ativa;25.186.378,00
RBRL11;86,04;0,650000;9,83;106,54;0,81;627.938,15;2,01;;;712.469.703,34;8.827,00;Ativa;6.687.035,00
HSML11;77,83;0,600000;7,94;93,76;0,83;2.148.772,18;4,06;;;1.479.543.692,13;119.414,00;Ativa;15.780.613,00
DVFF11;70,99;0,750000;9,16;92,13;0,77;116.668,26;11,87;;;101.432.193,07;368,00;Ativa;1.100.950,00
XPIN11;77,27;0,610000;9,72;109,68;0,70;528.962,12;4,51;-3,24;-12,92;784.257.306,33;49.981,00;Ativa;7.150.422,00
ARFI11B;479,99;;0,00;346,19;1,39;;0,33;;;39.483.917,21;28,00;Ativa;114.054,00
ALZR11;115,43;0,775610;7,26;108,44;1,06;942.162,18;5,23;8,56;5,79;642.161.227,02;100.312,00;Ativa;5.922.011,00
ERPA11;127,00;0,305994;0,42;115,40;1,10;177.938,36;0,74;;;57.806.170,89;364,00;Passiva;500.922,00
DAMT11B;0,64;;0,00;0,59;1,08;2.876,71;0,06;;;78.555.441,66;679,00;--;133.979.756,00
DOMC11;439,00;;0,00;108,10;4,06;;0,56;;-2,93;264.168.518,62;1.135,00;Ativa;2.443.800,00
BRHT11B;86,80;;0,00;79,91;1,09;;5,97;;;147.171.389,15;11,00;--;1.841.677,00
FLRP11;1.299,99;9,500000;6,55;1.720,21;0,76;24.797,55;2,25;-0,58;0,18;112.212.450,76;886,00;Passiva;65.232,00
CPFF11;68,70;0,600000;11,59;77,24;0,89;919.899,71;0,34;;;420.918.347,10;15.527,00;Ativa;5.449.778,00
VINO11;47,48;0,340000;11,67;54,60;0,87;1.560.192,79;5,37;;;904.508.301,41;108.730,00;Ativa;16.565.259,00
CXRI11;62,75;0,530000;9,18;85,36;0,74;17.290,76;2,82;-25,54;-60,32;134.511.554,67;2.759,00;Ativa;1.575.760,00
CJFI11;0,00;;0,00;1,97;;;0,39;;;100.236.805,85;1,00;Ativa;50.754.055,00
RBHG11;89,98;1,150000;12,88;96,47;0,93;282.946,91;4,66;;;166.667.836,68;6.173,00;Ativa;1.727.582,00
BBFI11B;1.936,00;23,913511;16,62;2.858,15;0,68;351.433,09;6,97;1,89;-7,14;371.560.046,48;9.023,00;Passiva;130.000,00
VSEC11;77,50;0,430000;10,45;98,75;0,78;1.083,00;56,05;;;6.194.781,92;71,00;Ativa;62.735,00
PLCR11;87,19;1,100000;13,30;92,56;0,94;388.220,79;11,33;;;195.230.258,40;11.002,00;Ativa;2.109.169,00
NCHB11;96,54;1,468968;13,63;94,81;1,02;857.217,94;2,41;-17,45;;137.755.798,30;9.803,00;Ativa;1.452.983,00
MALL11;101,26;0,720000;7,26;108,35;0,93;1.416.310,06;2,29;7,42;-1,51;819.150.849,09;95.344,00;Ativa;7.560.351,00
