TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
WELL;92,21;2,65;154,24;2,06;1,19;38,98;14,81;5,26;21,85;69,02;14,26;0,54;8,11;;-1,19;;1,34;0,77;2,31;0,58;0,42;0,15;6,85;-15,49;;44,66;0,60;;52.456.249.601,00
WHLR;0,16;;-1,24;-0,51;0,02;65,92;37,57;-8,56;0,17;11,77;11,49;;0,11;;-0,02;;-41,12;-1,31;8,34;-0,03;0,89;0,15;9,41;;;-0,31;-0,13;;10.883.792,00
WHLRD;15,46;;-120,12;-49,39;1,57;65,92;37,57;-8,56;16,19;11,77;11,49;;10,28;;-1,57;;-41,12;-1,31;8,34;-0,03;0,89;0,15;9,41;;;-0,31;-0,13;;10.883.792,00
WHLRP;1,70;;-13,21;-5,43;0,17;65,92;37,57;-8,56;1,78;11,77;11,49;;1,13;;-0,17;;-41,12;-1,31;8,34;-0,03;0,89;0,15;9,41;;;-0,31;-0,13;;10.883.792,00
WMC;9,15;14,10;-1,29;0,62;0,02;;;;0,52;19,10;18,56;21,55;;;-0,02;;-48,36;-1,88;4,86;0,04;0,96;0,00;;;;14,66;-7,09;;55.353.840,00
WPC;56,03;9,29;17,30;1,41;0,68;87,26;59,96;40,68;7,33;18,59;6,85;0,82;7,04;;-0,68;;8,14;3,94;5,94;0,48;0,52;0,10;14,48;11,47;;39,79;3,24;;12.252.214.572,00
WPG;0,83;;-0,07;0,05;0,01;58,45;-26,37;-55,13;0,26;-7,32;-7,18;2,30;0,04;;-0,01;;-66,82;-7,43;-9,19;0,11;0,89;0,13;-10,66;;;18,33;-12,25;;20.301.468,00
WRI;31,44;;45,88;2,49;1,03;64,97;32,00;19,72;13,55;40,47;12,20;1,07;9,05;;-1,03;;5,42;2,25;4,15;0,41;0,59;0,11;-3,29;3,64;;12,64;0,69;;4.017.554.112,00
WSR;12,12;3,96;31,57;1,46;0,54;68,73;38,05;13,05;6,72;21,93;11,10;1,50;4,12;;-0,54;;4,64;1,72;5,22;0,37;0,63;0,13;4,16;-2,19;;8,28;0,38;;605.495.808,00
WY;35,64;2,16;30,99;2,54;1,53;21,92;15,86;10,93;15,14;24,57;3,21;0,38;3,39;17,05;-1,77;2,94;8,20;4,94;7,31;0,60;0,40;0,45;0,52;2,32;;14,03;1,15;;26.000.128.440,00
XAN;4,34;;-0,17;0,12;0,02;94,60;13,85;-353,64;2,07;153,69;149,39;4,16;0,60;;-0,02;;-71,03;-12,47;0,49;0,18;0,82;0,04;-6,24;-3,96;;36,28;-25,77;;38.012.324,00
